id,title,genres,vote_average,vote_count,revenue,release_date,image_width,image_height
833593,2037,['Drama'],7.4,70,0,2022-06-08,500,714
544,There's Something About Mary,"['Romance', 'Comedy']",6.626,5284,369900000,1998-07-15,500,750
103663,The Hunt,['Drama'],8.096,4695,18300000,2012-10-25,500,750
761898,Sword Art Online the Movie - Progressive - Aria of a Starless Night,"['Animation', 'Action', 'Fantasy', 'Science Fiction']",7.9,326,14037060,2021-10-30,500,750
447362,Life in a Year,"['Drama', 'Romance']",8.234,1955,0,2020-11-27,500,750
796499,Army of Thieves,"['Action', 'Crime', 'Comedy']",6.804,2246,46900000,2021-10-29,500,750
1159086,The Great Seduction,"['Drama', 'Comedy']",6.7,108,0,2023-08-30,500,750
534313,Racetime,"['Animation', 'Family', 'Comedy', 'Adventure']",5.5,35,12000000,2018-12-07,500,750
861,Total Recall,"['Action', 'Adventure', 'Science Fiction']",7.317,6388,261317921,1990-06-01,500,750
594,The Terminal,"['Comedy', 'Drama']",7.35,8615,219417255,2004-06-17,500,751
609972,Paranormal Activity: Next of Kin,"['Horror', 'Mystery']",6.1,747,0,2021-10-29,500,750
647250,The Machine,"['Comedy', 'Action', 'Crime']",5.801,204,0,2023-05-25,500,750
1034065,Rise of the Footsoldier: Vengeance,"['Action', 'Drama', 'Thriller']",5.5,27,0,2023-09-15,500,750
1027919,Three Blind Mice,['Horror'],3.9,12,0,2023-10-17,500,750
890322,Love Like the Falling Petals,"['Drama', 'Romance']",8.0,99,0,2022-03-24,500,741
965150,Aftersun,['Drama'],7.679,1791,7834405,2022-10-21,500,750
645886,The Unforgivable,"['Drama', 'Crime']",7.409,2014,0,2021-11-24,500,750
235,Stand by Me,"['Crime', 'Drama']",7.839,6443,52289686,1986-08-08,500,750
960398,Nightmare Neighborhood Moms,"['TV Movie', 'Mystery', 'Thriller', 'Drama']",6.2,8,0,2022-04-08,500,750
1020696,Play Dead,"['Horror', 'Thriller']",6.108,189,356840,2022-12-09,500,750
693113,Midnight in the Switchgrass,"['Crime', 'Mystery', 'Thriller', 'Action']",5.822,474,229811,2021-07-23,500,750
615469,Spiderhead,"['Science Fiction', 'Thriller']",5.795,1728,0,2022-06-17,500,750
398978,The Irishman,"['Crime', 'Drama', 'History']",7.575,7437,968853,2019-11-01,500,750
1075519,The Locksmith,"['Thriller', 'Mystery', 'Action', 'Crime', 'Drama']",5.858,102,0,2023-02-03,500,750
